,Latitude,Longitude,MedInc
9015,34.13,-118.68,6.7273
7676,33.92,-118.09,4.5699
13720,34.07,-117.18,2.1154
13996,34.88,-117.02,3.0313
9863,36.59,-121.85,3.3156
4915,34.0,-118.27,1.7052
13400,34.12,-117.43,3.2056
19085,38.38,-122.58,4.7237
17220,34.47,-119.72,5.8411
6690,34.14,-118.08,6.1159
15719,37.78,-122.44,1.4866
10312,33.89,-117.78,8.9088
468,37.87,-122.29,2.537
27,37.85,-122.28,1.808
16485,38.21,-121.15,4.0365
16158,37.77,-122.5,4.125
4147,34.13,-118.2,3.3438
17345,34.86,-120.43,3.8203
805,37.64,-122.06,3.8259
17557,37.33,-121.89,2.2583
9767,36.42,-121.31,2.6629
14826,32.66,-117.09,1.8333
7729,33.93,-118.13,3.5227
18147,37.35,-122.04,5.678
13758,34.03,-117.15,6.5648
13961,34.24,-116.88,4.6394
1143,39.83,-121.5,1.6948
16908,37.58,-122.37,12.4291
2737,32.78,-115.56,3.0603
15019,32.78,-117.02,3.3675
15550,33.11,-117.08,2.2
20533,38.54,-121.67,4.2432
8550,33.88,-118.35,3.2594
11943,33.95,-117.43,4.0526
9252,36.96,-120.08,3.1136
11731,39.02,-120.81,2.8155
9527,39.1,-123.16,2.775
8873,34.07,-118.41,3.9904
8522,33.9,-118.34,5.5133
5964,34.08,-117.81,7.7876
16359,37.99,-121.31,1.886
8171,33.8,-118.12,2.7092
18383,37.19,-121.8,4.5417
3742,34.19,-118.39,2.4167
6583,34.21,-118.21,4.7734
8871,34.06,-118.41,4.1411
83,37.81,-122.28,0.8075
13813,34.89,-117.04,3.175
925,37.48,-121.92,5.3813
6584,34.23,-118.22,8.4802
12442,33.86,-116.08,2.425
18768,40.51,-122.24,4.559
15414,33.22,-117.27,5.0249
10256,33.88,-117.87,3.6417
13023,38.67,-121.23,3.8954
1448,37.98,-122.01,4.0507
9492,39.23,-123.2,2.3583
15075,32.8,-117.0,3.0189
12490,38.57,-121.47,2.1691
17242,34.38,-119.67,3.1625
2536,39.45,-121.94,1.832
5349,34.05,-118.42,7.8164
16822,37.65,-122.53,4.0556
9251,36.95,-120.09,4.1544
7897,33.85,-118.07,7.0113
19674,37.51,-120.83,4.6635
16996,37.54,-122.26,6.9635
15767,37.77,-122.43,3.6894
2798,36.13,-117.69,1.7868
17783,37.37,-121.83,3.2279
19898,36.27,-119.25,2.6875
17382,34.96,-120.41,4.65
6950,33.99,-118.07,4.5595
7403,33.95,-118.23,0.9518
8072,33.82,-118.17,4.1354
2561,40.8,-124.15,1.755
7627,33.86,-118.27,6.5799
5595,33.79,-118.25,2.375
13852,34.51,-117.28,3.0181
2324,36.83,-119.73,5.0828
18229,37.4,-122.09,3.5179
12567,38.54,-121.42,2.398
4863,34.03,-118.27,1.7115
10128,33.93,-117.9,3.3173
8813,33.75,-118.31,6.287000000000001
8191,33.79,-118.12,4.3317
5441,34.0,-118.44,4.75
10532,33.57,-117.71,4.877
7153,34.03,-118.15,2.0536
17608,37.29,-121.9,6.6331
8727,33.84,-118.37,6.7105
5341,34.04,-118.44,2.1875
3730,34.19,-118.41,3.6625
14888,32.62,-117.08,3.4773
12441,33.69,-116.19,2.5383
13826,34.48,-117.18,2.7778
10105,33.92,-117.95,3.6106
14673,32.82,-117.11,2.875
11642,33.83,-118.06,3.8512
8689,33.87,-118.33,4.2614
15429,33.21,-117.24,3.0982
13120,38.31,-121.27,4.4107
13664,34.03,-117.31,5.7393
11051,33.79,-117.86,3.1792
11775,38.77,-121.33,4.2259
4502,34.05,-118.2,1.9615
3980,34.19,-118.61,4.3125
1351,38.03,-121.94,1.4871
20630,39.29,-121.32,3.5673
2163,36.77,-119.82,3.0568
7584,33.9,-118.22,1.9423
2896,35.37,-118.97,1.4125
6627,34.17,-118.14,2.3
12939,38.66,-121.27,4.1382
18970,38.27,-122.01,4.0619
17300,34.39,-119.52,2.6397
10952,33.75,-117.87,0.971
15047,32.78,-116.95,6.2552
19709,39.18,-121.63,2.0978
6323,33.98,-117.98,6.2217
14692,32.79,-117.11,3.3849
13591,34.11,-117.29,0.7075
875,37.56,-122.03,4.6978
16109,37.74,-122.5,3.7552
15962,37.72,-122.44,3.8958
8200,33.79,-118.14,3.1711
9754,36.55,-121.7,7.6245
7459,33.92,-118.18,2.4583
15859,37.76,-122.39,3.9722
6419,34.15,-118.01,3.2377
4369,34.11,-118.28,4.2019
3021,35.17,-119.48,3.125
9584,37.32,-120.49,1.9528
15786,37.78,-122.39,3.6037
14634,32.8,-117.2,4.2417
14985,32.74,-117.02,3.5
11102,33.85,-117.88,3.7772
1047,38.4,-120.66,3.175
7922,33.86,-118.08,3.5268
18276,37.34,-122.07,7.3561
13582,34.12,-117.29,1.0951
9820,36.62,-121.91,3.2865
19828,36.55,-119.39,3.3869
4353,34.1,-118.38,9.3092
20323,34.23,-119.12,2.4643
10719,33.66,-117.82,6.4967
16911,37.56,-122.37,11.6833
794,37.64,-122.08,3.3479
3745,34.16,-118.4,4.2989
20039,36.06,-118.97,1.975
6886,34.06,-118.1,2.9524
16360,38.0,-121.3,1.7774
2802,35.42,-119.03,2.5703
16882,37.59,-122.38,3.0744
9075,34.7,-118.16,4.8787
15184,32.97,-117.1,2.4459
6661,34.17,-118.12,4.7098
17366,34.95,-120.43,3.6815
7033,33.96,-118.1,3.6667
17886,37.39,-121.96,4.5062
2194,36.8,-120.02,2.1618
8891,34.02,-118.5,2.775
13765,34.07,-117.13,2.8031
3042,35.49,-119.27,2.3533
11193,33.84,-117.92,3.2969
1043,38.26,-120.93,3.2937
14963,32.76,-117.0,6.5645
9391,37.9,-122.54,4.4375
17823,37.38,-121.86,5.8686
1676,38.04,-122.26,2.694
9598,37.31,-120.48,2.355
14417,32.79,-117.24,2.6902
7810,33.9,-118.1,3.6
1844,37.91,-122.28,6.5576
4278,34.09,-118.31,1.8977
3835,34.19,-118.43,4.125
1880,38.94,-119.98,1.9018
7975,33.87,-118.2,3.9469
12599,38.53,-121.49,3.3906
5025,33.99,-118.32,3.7167
13999,34.69,-116.9,0.4999
1775,37.94,-122.34,1.681
17010,37.53,-122.28,4.8047
8725,33.83,-118.36,5.6013
17544,37.34,-121.87,2.6667
17867,37.44,-121.91,4.7794
5271,34.04,-118.52,10.8082
19628,37.3,-121.04,3.3824
11993,34.02,-117.53,5.3269
5942,34.14,-117.88,7.5112
2692,32.82,-115.32,3.6528
14851,32.67,-117.08,2.5662
11697,33.89,-117.99,8.5621
19949,36.21,-119.37,1.4455
8600,33.87,-118.37,6.02
16243,37.98,-121.3,2.6364
9051,34.71,-118.12,2.5179
17678,37.33,-121.85,4.5208
17259,34.42,-119.72,2.6019
7981,33.87,-118.17,2.9803
199,37.78,-122.23,2.6429
4397,34.07,-118.27,1.87
8045,33.85,-118.17,4.2218
554,37.77,-122.26,2.875
18853,41.38,-122.28,2.8036
1886,38.93,-119.98,2.6607
345,37.75,-122.18,1.712
6829,34.08,-118.11,4.5446
7916,33.87,-118.08,4.1406
12195,33.66,-117.28,2.6949
14529,32.92,-117.14,4.9706
4176,34.1,-118.22,4.0469
2236,36.86,-119.8,3.7656
2853,35.38,-118.94,3.7533
6151,34.09,-117.96,3.1621
5843,34.19,-118.32,3.3897
13687,34.15,-117.22,6.2516
580,37.71,-122.07,4.9801
2154,36.78,-119.8,2.2614
9538,37.39,-120.71,3.2721
5339,34.03,-118.45,2.6528
20004,36.14,-119.19,3.9
1791,37.93,-122.37,1.75
3692,34.21,-118.36,1.8929
16159,37.78,-122.49,2.6719
831,37.6,-122.02,3.694
9773,36.32,-121.25,2.9184
20395,34.25,-118.85,7.2965
18221,37.4,-122.08,4.1544
13010,38.72,-121.25,5.2177
11250,33.81,-118.0,2.8835
2453,36.52,-119.55,3.0294
16747,37.69,-122.46,4.0833
15978,37.76,-122.46,3.93
9480,39.4,-123.36,1.5625
7918,33.87,-118.09,3.9837
360,37.76,-122.13,5.37
5007,34.02,-118.33,4.26
17431,34.65,-120.45,1.9257
8182,33.8,-118.1,5.0574
289,37.78,-122.17,4.175
14564,32.84,-117.2,4.55
2375,36.69,-119.58,1.9766
20204,34.25,-119.2,3.8889
2055,36.68,-119.76,1.8355
18998,38.34,-121.96,3.6036
8586,33.9,-118.39,8.2037
5082,33.98,-118.3,2.9375
7333,33.97,-118.18,2.0057
11906,33.97,-117.39,3.4044
5725,34.19,-118.22,3.215
17067,37.49,-122.24,2.5833
19424,37.71,-121.02,3.6023
8887,34.02,-118.52,5.0867
12103,33.98,-117.33,1.9531
8413,33.94,-118.35,2.5547
6389,34.16,-118.03,9.8098
16824,37.63,-122.49,5.155
6538,34.05,-118.04,3.0536
11378,33.69,-117.95,4.875
5386,34.02,-118.41,3.5022
8948,34.02,-118.46,3.0476
14544,32.96,-117.25,6.6199
16666,35.27,-120.71,5.4287
5575,33.84,-118.31,2.6491
4560,34.04,-118.26,2.462
18418,37.27,-121.83,6.6712
15813,37.76,-122.42,3.3937
12573,38.53,-121.41,2.9737
16471,38.13,-121.25,3.2993
18751,40.66,-122.43,2.5417
15752,37.77,-122.44,3.6186
12288,33.94,-116.98,3.4545
15582,33.33,-116.74,2.4744
10807,33.65,-117.93,4.4211
12888,38.66,-121.35,2.5556
5278,34.06,-118.47,7.6447
12368,33.79,-116.42,4.9444
17587,37.3,-121.92,4.2762
7789,33.89,-118.07,4.537
5133,33.97,-118.26,1.7121
13209,34.05,-117.72,4.0614
3108,35.61,-117.68,3.5988
7307,33.99,-118.2,2.551
14217,32.67,-117.05,3.9646
863,37.58,-122.0,5.8151
3254,36.0,-120.14,2.0335
18156,37.36,-122.06,6.0777
20582,38.9,-122.16,3.7574
10137,33.91,-117.89,3.7321
1508,37.92,-122.05,4.7094
2872,35.37,-118.95,1.6728
4913,34.01,-118.27,2.0817
16176,37.75,-122.4,6.1359
7814,33.9,-118.11,3.5052
8973,34.0,-118.41,5.5284
16350,38.02,-121.35,3.428
6011,34.06,-117.77,1.9766
7499,33.92,-118.25,2.5363
4124,34.13,-118.22,5.7794
3438,34.26,-118.42,3.9
15938,37.72,-122.4,2.1187
18461,37.26,-121.76,4.6458
16333,38.03,-121.33,4.918
4216,34.11,-118.27,3.0521
7488,33.92,-118.22,3.4539
18489,37.01,-121.59,4.3227
7103,33.89,-118.0,5.1377
5375,34.04,-118.39,4.125
17001,37.57,-122.26,6.5948
5613,33.79,-118.25,2.7143
2734,32.78,-115.56,3.2083
11526,33.77,-118.09,1.8015
674,37.68,-122.16,2.3869
1711,37.98,-122.3,3.6518
10665,33.61,-117.87,7.79
14364,32.73,-117.23,2.7273
7664,33.83,-118.21,2.8837
4789,34.02,-118.32,2.0042
9393,37.92,-122.55,6.1085
19113,38.22,-122.63,5.565
2899,35.37,-119.01,1.9125
6935,34.01,-118.09,4.3333
4035,34.17,-118.52,3.2154
6674,34.15,-118.12,3.4167
17448,34.63,-120.47,3.7917
4990,33.99,-118.31,1.6559
11286,33.79,-117.95,4.4667
7932,33.84,-118.06,4.0542
4257,34.1,-118.35,1.845
15401,33.22,-117.22,1.7217
5473,33.99,-118.46,3.5234
18646,36.97,-121.99,2.1771
15989,37.76,-122.47,3.6346
9601,37.3,-120.48,1.5427
1254,39.21,-122.01,2.5556
15311,33.19,-117.38,1.9891
11597,33.78,-118.09,6.6137
12353,33.81,-116.54,3.1493
9366,37.94,-122.52,5.9582
17102,37.46,-122.22,4.3214
2122,36.74,-119.71,2.4728
2673,33.04,-115.62,2.2969
13895,34.14,-116.32,1.69
16806,37.66,-122.41,3.0052
12429,33.68,-116.25,3.0114
11756,38.73,-121.18,6.0302
6118,34.13,-117.91,2.2132
3953,34.21,-118.65,9.6465
1516,37.93,-122.07,5.0255
18976,38.25,-122.03,4.0905
3611,34.24,-118.43,4.0208
791,37.64,-122.08,5.7309
12348,33.83,-116.56,2.6083
1865,41.54,-123.92,2.0202
7066,33.94,-118.03,3.4792
6064,33.98,-117.84,6.1076
337,37.74,-122.17,2.25
18228,37.41,-122.09,3.575
10075,39.36,-120.15,5.6856
2344,36.81,-119.68,3.9792
4004,34.15,-118.61,4.9102
16689,35.11,-120.59,3.5744
11321,33.77,-117.98,4.0955
20575,38.72,-121.9,3.75
17386,34.97,-120.44,1.7941
5706,34.21,-118.22,3.5707
9567,37.35,-120.61,2.2222
9880,36.64,-121.79,2.3087
7017,33.98,-118.09,3.6875
11213,33.81,-117.91,2.5625
12814,38.62,-121.5,3.7188
18067,37.29,-122.03,10.3653
11313,33.77,-117.95,3.2632
16022,37.73,-122.46,6.8322
7261,33.99,-118.21,3.2188
16571,37.74,-121.42,4.8021
248,37.78,-122.22,1.7276
18586,36.95,-121.79,3.7863
1841,37.91,-122.29,4.0536
33,37.83,-122.27,1.375
20262,34.21,-119.19,4.2227
8700,33.87,-118.35,3.6169
1076,39.75,-121.8,3.1125
311,37.76,-122.2,1.75
19415,37.71,-121.07,3.375
11402,33.73,-117.92,4.4728
9835,36.63,-121.92,3.4167
13357,34.05,-117.62,2.8281
5399,34.03,-118.43,3.2308
17204,34.44,-119.74,3.4047
16529,37.82,-121.17,3.8472
7931,33.84,-118.06,4.7953
16387,38.02,-121.27,2.9821
12892,38.66,-121.33,2.7797
239,37.79,-122.2,2.7788
5158,33.96,-118.28,1.615
9052,34.71,-118.12,1.125
6700,34.14,-118.12,5.8692
472,37.87,-122.29,2.6165
7197,34.03,-118.18,2.239
8784,33.78,-118.31,3.5804
17642,37.25,-121.9,4.6845
5886,34.16,-118.33,3.4286
13750,34.05,-117.14,6.746
5270,34.03,-118.55,6.0307
1745,37.95,-122.35,2.6328
14611,32.8,-117.18,3.8542
15837,37.75,-122.44,5.0505
4256,34.1,-118.35,2.325
5280,34.05,-118.48,9.5221
18328,37.45,-122.14,7.8647
13770,34.03,-117.02,4.2361
7070,33.95,-118.01,4.6923
15737,37.78,-122.42,3.1462
1024,38.52,-120.0,3.15
4718,34.06,-118.38,2.8233
11396,33.73,-117.97,7.2845
17846,37.41,-121.87,5.6683
16635,35.3,-120.84,4.9359
2906,35.38,-119.03,2.7312
12727,38.6,-121.36,4.4643
11453,33.67,-118.01,5.888
11522,33.72,-118.08,7.1673
15564,33.11,-117.05,5.4786
1703,37.97,-122.29,4.4911
11860,40.01,-121.23,1.625
2004,36.74,-119.79,2.1094
6348,34.06,-117.75,1.625
3743,34.16,-118.4,2.3333
369,37.75,-122.15,3.8913
9144,34.45,-117.79,3.2765
19440,37.68,-121.0,4.9904
12462,38.57,-121.43,4.0972
9594,37.33,-120.46,3.2852
4203,34.12,-118.26,3.1306
13540,34.14,-117.3,1.9432
20456,34.27,-118.77,4.7574
15243,33.0,-117.25,5.8393
10194,33.86,-117.93,4.5774
6813,34.1,-118.07,3.2361
20384,34.18,-118.94,5.9224
8993,33.99,-118.35,5.0514
13864,34.41,-117.29,1.5758
16396,38.01,-121.24,2.4342
19863,36.36,-119.32,3.4312
7551,33.92,-118.21,3.1964
14608,32.81,-117.18,4.7679
8822,34.09,-118.35,2.5444
7687,33.95,-118.1,3.7308
18701,40.57,-122.35,3.2639
15785,37.78,-122.39,4.7105
2357,36.82,-119.64,5.6739
4664,34.05,-118.3,2.1414
12320,33.89,-116.51,1.95
11743,38.85,-121.08,6.0
13643,34.06,-117.33,2.5673
4127,34.14,-118.21,2.2267
8354,33.95,-118.32,5.0912
10664,33.64,-117.84,2.4132
15647,37.79,-122.41,3.0296
5707,34.21,-118.23,3.5174
15102,32.83,-116.99,3.1979
10062,39.26,-120.99,3.7917
7176,34.05,-118.18,2.8295
10132,33.91,-117.91,3.6106
17789,37.35,-121.83,3.7143
2124,36.8,-119.7,3.8088
20507,38.59,-121.52,1.6647
5659,33.73,-118.3,4.194
20217,34.28,-119.25,5.2261
3976,34.18,-118.62,6.4044
732,37.68,-122.13,3.6
8840,34.08,-118.38,3.9375
5196,33.94,-118.27,1.6625
15054,32.81,-116.83,4.8125
3763,34.18,-118.41,3.9038
79,37.8,-122.28,2.0114
4561,34.06,-118.25,1.7763
2331,36.82,-119.72,2.2639
4506,34.05,-118.2,2.625
13314,34.07,-117.65,1.9236
333,37.74,-122.17,2.4776
20030,36.08,-119.03,3.25
5180,33.95,-118.26,1.5147
8387,33.98,-118.36,3.5833
10444,33.43,-117.61,3.9875
20015,36.09,-119.08,2.7298
10765,33.63,-117.9,6.1426
12088,33.86,-117.26,3.1103
16492,38.04,-121.11,2.9241
2188,36.72,-120.05,1.8299
14225,32.69,-117.05,3.16
6834,34.08,-118.13,2.6716
18713,40.56,-122.45,3.9375
18020,37.24,-121.95,6.0957
13943,34.27,-117.19,5.2146
15677,37.8,-122.43,3.3715
6177,34.08,-117.91,3.6625
6247,34.05,-117.97,3.5179
19056,38.15,-121.74,4.8173
14790,32.56,-117.12,2.9286
4289,34.09,-118.31,1.2412
19068,38.29,-122.47,2.5658
13951,34.24,-117.13,5.2563
12793,38.64,-121.45,1.867
12960,38.71,-121.29,3.5769
9165,34.42,-118.43,6.2971
5400,34.03,-118.43,3.1875
214,37.79,-122.22,2.5
13776,34.03,-117.08,3.154
17821,37.37,-121.88,3.5745
4801,34.03,-118.36,2.2368
9725,36.88,-121.71,3.7766
4383,34.09,-118.27,4.625
20076,38.06,-120.4,2.6544
3154,35.12,-118.43,3.2632
8781,33.79,-118.32,4.1477
9382,37.91,-122.45,10.0791
5049,34.02,-118.38,4.3077
7003,33.98,-118.05,4.0379
106,37.81,-122.24,3.2727
9038,34.74,-118.09,2.4348
12838,38.69,-121.46,3.3125
3404,34.25,-118.35,6.1464
5639,33.75,-118.3,5.6611
11235,33.81,-117.96,5.2384
17201,34.45,-119.78,6.4744
9201,37.38,-119.72,2.6071
13038,38.67,-121.16,3.7796
6525,34.06,-118.04,3.2132
8088,33.82,-118.21,2.8438
6387,34.16,-118.07,4.125
12724,38.59,-121.37,4.775
5096,33.97,-118.3,2.6311
12624,38.49,-121.52,3.6196
20415,34.17,-118.84,3.2176
1528,37.89,-122.07,5.5636
19474,37.67,-120.97,4.3851
13064,38.57,-121.32,3.6897
965,37.68,-121.88,7.332999999999999
13646,34.08,-117.31,1.9234
1662,37.93,-121.93,6.299
455,37.88,-122.26,1.725
15867,37.76,-122.4,2.9312
7934,33.82,-118.08,6.2519
15354,33.25,-117.32,4.85
18413,37.27,-121.85,7.3339
11219,33.8,-117.9,2.9231
7784,33.91,-118.07,4.023
16062,37.75,-122.48,4.4
9509,39.16,-123.22,3.6587
17978,37.3,-121.97,3.0079
14278,32.71,-117.12,1.9286
13768,34.05,-117.07,1.9694
7112,33.89,-118.01,4.6354
7576,33.88,-118.21,2.1782
16298,37.96,-121.22,2.625
11614,33.79,-118.07,6.4288
12548,38.55,-121.48,4.3929
18425,37.26,-121.83,4.5033
14084,32.77,-117.1,5.7768
15727,37.78,-122.45,3.2011
7703,33.96,-118.13,4.0
20590,39.14,-121.59,1.6840000000000002
8248,33.78,-118.19,1.8036
15955,37.71,-122.45,3.8583
15199,32.9,-117.1,5.149
3646,34.23,-118.45,2.5833
13802,34.34,-117.61,4.8623
14177,32.72,-117.08,3.0446
9808,36.6,-121.95,7.1198
173,37.8,-122.25,1.6504
17542,37.34,-121.88,2.4196
11627,33.81,-118.07,8.5407
335,37.74,-122.18,1.8438
5151,33.95,-118.27,1.2091
12331,33.96,-116.48,2.3382
20538,38.56,-121.73,2.8614
14280,32.71,-117.13,1.2614
1526,37.89,-122.08,6.2924
399,37.89,-122.29,5.1696
17904,37.36,-121.97,6.0116
5388,34.03,-118.39,3.1415
749,37.68,-122.05,6.1104
611,37.74,-122.15,3.851
18439,37.24,-121.83,5.9164
12751,38.62,-121.38,3.5625
12198,33.65,-117.25,3.5125
18637,37.01,-121.97,4.5682
12860,38.7,-121.37,3.6484
9778,36.21,-121.13,3.1929
5175,33.95,-118.27,2.2946
16156,37.78,-122.49,3.0278
9185,34.41,-118.56,5.6798
3008,35.28,-119.01,2.7659
3087,35.65,-118.87,3.4792
11812,39.0,-121.15,4.3553
11429,33.67,-117.97,5.6765
20234,34.27,-119.27,4.09
3187,36.32,-119.82,2.0673
15701,37.79,-122.44,4.4375
2030,36.72,-119.74,2.1304
11123,33.85,-117.92,3.2344
245,37.78,-122.21,1.7188
14251,32.73,-117.09,3.5789
13637,34.08,-117.32,2.5208
20195,34.27,-119.2,3.445
348,37.75,-122.17,2.5043
16602,35.62,-120.69,2.4567
11682,33.87,-118.01,3.139
17739,37.3,-121.79,5.9399
9364,37.94,-122.54,4.4081
18406,37.28,-121.83,5.2166
16076,37.74,-122.48,4.131
3736,34.18,-118.4,3.5711
13034,38.69,-121.15,6.1359
7839,33.91,-118.17,3.8
10882,33.71,-117.9,6.2488
17852,37.44,-121.88,5.3057
14508,32.86,-117.2,3.9356
7772,33.91,-118.1,4.9732
1562,37.76,-121.94,4.6932
20469,34.27,-118.73,4.556
9115,34.64,-118.21,5.9508
16565,37.73,-121.46,5.1629
10513,33.51,-117.7,6.8279
5623,33.77,-118.26,2.4545
18405,37.25,-121.86,4.2885
9050,34.71,-118.1,2.415
7661,33.83,-118.22,4.4474
2755,32.68,-115.48,2.3319
3212,36.34,-119.65,1.8529
7401,33.96,-118.24,2.0655
2694,32.86,-115.4,3.3182
18424,37.25,-121.81,4.1926
7138,34.01,-118.11,2.4605
11680,33.84,-118.0,4.0039
18166,37.35,-122.02,5.3679
9478,39.41,-123.36,2.9183
7713,33.95,-118.15,4.0
4721,34.04,-118.37,3.825
15511,33.15,-117.06,4.7941
16472,38.11,-121.26,4.2448
12285,33.86,-116.89,3.0417
11327,33.76,-117.95,4.1295
5965,34.12,-117.81,4.8229
13559,34.09,-117.3,2.1842
18647,36.97,-122.0,2.8941
62,37.81,-122.29,0.9011
10333,33.83,-117.75,8.2375
20068,37.98,-120.39,2.1513
4096,34.15,-118.41,4.1656
6459,34.1,-118.04,4.8017
2213,36.85,-119.84,10.5144
19865,36.33,-119.32,9.0376
14021,32.75,-117.17,2.1532
3336,38.82,-122.5,2.5625
18785,40.45,-122.37,3.3315
12135,33.9,-117.22,4.0467
2348,36.8,-119.69,3.2813
13103,38.44,-121.34,5.7452
19915,36.31,-119.3,4.2778
15396,33.23,-117.08,4.15
14725,32.8,-117.01,2.6934
19649,37.45,-120.89,3.6597
19441,37.68,-121.01,3.5775
12307,33.62,-116.74,2.9141
5146,33.96,-118.26,1.5812
9438,37.43,-119.98,2.5551
20176,34.28,-119.19,4.8583
9740,36.74,-121.64,4.1696
19221,38.46,-122.71,3.9261
16698,35.1,-120.66,2.1042
15345,33.21,-117.38,2.6442
15001,32.74,-117.02,1.8594
7276,33.99,-118.25,1.5272
12190,33.68,-117.35,4.2788
8628,33.88,-118.39,8.1513
7677,33.92,-118.09,5.3146
17335,34.9,-120.48,3.0559
16307,38.01,-121.36,2.3339
15058,32.79,-116.9,6.7685
7739,33.94,-118.15,4.2594
13577,34.13,-117.28,1.8396
11961,33.89,-117.42,7.7197
19229,38.48,-122.66,2.825
2683,32.99,-115.54,4.3523
8794,33.78,-118.4,12.9758
9414,37.86,-122.49,6.7669
7463,33.93,-118.19,3.4712
16913,37.55,-122.34,13.3913
12543,38.54,-121.5,8.338
4422,34.07,-118.25,1.9028
10210,33.88,-117.92,5.3986
2679,32.99,-115.53,1.7159
14349,32.75,-117.21,1.0612
17401,34.93,-120.44,2.1509
17026,37.51,-122.27,5.8964
8642,33.86,-118.43,7.1264
18487,37.01,-121.58,5.1519
16442,38.14,-121.29,2.515
1521,37.91,-122.07,5.0391
8382,33.96,-118.36,2.8378
8482,33.92,-118.29,3.692
5030,33.98,-118.32,1.9732
15753,37.77,-122.45,4.1417
16939,37.55,-122.32,4.6406
10605,33.67,-117.81,7.4581
2527,39.53,-122.2,2.3566
19624,37.37,-121.01,2.3583
3591,34.25,-118.47,4.5417
8576,33.9,-118.42,5.9596
18770,40.45,-122.31,2.0221
3905,34.2,-118.5,4.1304
13863,34.41,-117.28,2.9934
13354,34.02,-117.61,3.8125
1675,38.03,-122.26,3.9345
17976,37.31,-121.97,3.6401
10838,33.67,-117.92,4.2071
10594,33.69,-117.79,5.7115
15395,33.23,-117.11,4.9335
9332,38.01,-122.64,5.5789
16031,37.72,-122.45,4.7143
2056,36.65,-119.67,3.9211
20242,34.27,-119.23,3.8125
19623,37.33,-121.09,1.7188
2304,36.83,-119.76,5.2595
13406,34.09,-117.46,3.5488
4553,34.06,-118.24,1.1979
18160,37.35,-122.04,6.837000000000001
8131,33.83,-118.12,5.0424
13252,34.12,-117.68,5.7214
17054,37.47,-122.25,5.4688
10522,33.54,-117.7,7.9338
20072,37.98,-120.37,1.6021
10459,33.5,-117.63,7.2013
5346,34.04,-118.43,4.5833
16659,35.3,-120.67,2.2165
19080,38.32,-122.48,3.1375
5361,34.04,-118.41,11.1768
5284,34.05,-118.47,3.5909
15820,37.75,-122.42,2.1289
14411,32.79,-117.23,3.625
1896,38.92,-120.02,3.2396
16778,37.68,-122.47,4.5337
17787,37.36,-121.83,3.1982
4429,34.08,-118.22,1.8173
18632,37.05,-121.93,6.4214
10572,33.65,-117.68,5.928
20518,38.58,-121.56,1.9426
3774,34.16,-118.42,3.9028
9710,36.67,-121.66,3.1439
3316,38.94,-122.69,3.125
216,37.79,-122.2,2.8321
20333,34.23,-118.99,6.6246
5291,34.08,-118.42,15.0001
10700,33.61,-117.73,2.6759
13263,34.1,-117.66,3.4634
16811,37.66,-122.42,2.6631
14893,32.62,-117.07,2.7838
12789,38.62,-121.44,1.4387
4221,34.12,-118.26,2.7348
15348,33.3,-117.25,6.3054
13199,34.06,-117.69,2.5536
4424,34.06,-118.25,1.5491
9054,34.7,-118.13,1.1296
18464,37.19,-121.74,4.2039
14878,32.64,-117.07,4.6477
1615,37.87,-122.11,6.5814
18298,37.4,-122.12,10.3894
13836,34.51,-117.17,3.4875
3973,34.19,-118.58,2.85
5860,34.18,-118.33,3.8462
5567,33.88,-118.28,2.6618
20246,34.27,-119.26,3.6413
1598,37.88,-122.11,6.4666
20435,34.25,-118.64,5.4024
11306,33.78,-117.94,3.8056
1803,37.91,-122.35,4.2895
11443,33.72,-117.98,5.2655
18625,37.08,-122.0,5.5919
13912,34.22,-116.14,1.875
14099,32.76,-117.09,2.2287
12723,38.59,-121.38,4.5313
12487,38.57,-121.48,1.625
17245,34.42,-119.67,2.0643
8013,33.84,-118.1,5.296
12844,38.68,-121.37,3.3074
10054,39.27,-121.02,3.2
1732,37.96,-122.35,2.0353
11075,33.81,-117.85,4.9917
772,37.66,-122.1,4.275
9209,37.19,-119.77,4.1099
18350,37.41,-122.15,7.0309
18130,37.35,-122.02,4.1473
2332,36.83,-119.69,3.9943
4844,34.03,-118.31,2.025
3597,34.25,-118.5,4.8164
6443,34.1,-118.03,2.9422
394,37.89,-122.33,4.5268
11056,33.79,-117.85,2.4688
3427,34.27,-118.43,3.024
15312,33.2,-117.38,1.9386
2595,40.66,-123.74,3.0469
13002,38.66,-121.26,4.0781
4948,34.02,-118.3,1.6699
5125,33.98,-118.27,1.625
20040,36.07,-118.99,2.975
7908,33.85,-118.1,5.7039
17791,37.37,-121.81,5.1099
17535,37.36,-121.88,4.2149
13981,34.85,-117.46,3.4912
13369,34.13,-117.57,5.9369
8426,33.92,-118.35,2.75
12797,38.62,-121.45,2.5643
5717,34.2,-118.24,5.5756
17426,34.65,-120.46,2.5966
2029,36.73,-119.74,2.3269
16427,38.15,-121.36,4.3553
20488,34.28,-118.68,4.7034
2057,36.64,-119.63,3.4107
7405,33.96,-118.21,2.1522
9468,39.44,-123.8,1.9208
6987,33.97,-118.03,3.2852
10715,33.65,-117.84,2.2262
14667,32.79,-117.13,4.2098
20232,34.23,-119.29,2.9018
4237,34.13,-118.31,7.2692
14028,32.75,-117.15,2.465
12009,33.92,-117.55,4.8167
